text,optionA,optionB,optionC,optionD,correctIndex,category,categoryId,subCategory,difficulty,explanation,roast,imageUrl
What animal's fingerprints are so similar to humans that they can confuse forensic teams?,Koala,Panda,Sloth,Seal,0,Fun Facts,fun-facts,brainy-bites,easy,Koala fingerprints are surprisingly close to human fingerprints in pattern and shape.,"That was not unbearable, but it was wrong.",
Which planet in our solar system has a day longer than its year?,Mercury,Venus,Mars,Saturn,1,Fun Facts,fun-facts,brainy-bites,medium,Venus rotates so slowly that one full spin takes longer than one orbit around the Sun.,"Space facts were available, but not selected.",
Bananas are naturally slightly what?,Magnetic,Radioactive,Blue under sunlight,Salted,1,Fun Facts,fun-facts,strange-world,easy,"Bananas contain potassium, including a small amount of radioactive potassium-40.",The fruit aisle is disappointed in you.,
Which civilization built the pyramids of Giza?,Romans,Ancient Egyptians,Vikings,Mongols,1,History,history,ancient,easy,The Great Pyramids at Giza were built in Ancient Egypt during the Old Kingdom.,Not quite. The Nile is judging you.,
Who was the first Emperor of Rome?,Julius Caesar,Augustus,Nero,Constantine,1,History,history,ancient,easy,Augustus became the first Roman Emperor in 27 BCE.,"Et tu, wrong answer?",
Which event is commonly considered the start of World War I?,Invasion of Poland,Assassination of Archduke Franz Ferdinand,Pearl Harbor,Fall of the Berlin Wall,1,History,history,world-wars,easy,The assassination in 1914 triggered a chain of alliances and declarations of war.,History called. It wants its date back.,
What was the codename for the Allied invasion of Normandy in 1944?,Operation Barbarossa,Operation Overlord,Operation Torch,Operation Market Garden,1,History,history,world-wars,medium,Operation Overlord included D-Day and the Battle of Normandy.,That guess did not land on the beaches.,
"Who is famous for the quote ""I came, I saw, I conquered""?",Alexander the Great,Julius Caesar,Napoleon,Genghis Khan,1,History,history,famous-figures,easy,"Julius Caesar used the Latin phrase ""Veni, vidi, vici"".","Veni, vidi... you missed it.",
What is the capital city of Japan?,Kyoto,Seoul,Tokyo,Osaka,2,Geography,geography,capitals,easy,Tokyo is the capital and largest city of Japan.,The map was right there.,
What is the capital city of Brazil?,Rio de Janeiro,Brasilia,Sao Paulo,Salvador,1,Geography,geography,capitals,medium,Brasilia became the capital of Brazil in 1960.,That answer took a detour.,
Which landmark sits on the border of Ontario and New York State?,Victoria Falls,Niagara Falls,Angel Falls,Iguazu Falls,1,Geography,geography,landmarks,easy,Niagara Falls lies between Canada and the United States.,You really let that one slip.,
What is 15 x 6?,80,85,90,96,2,Maths,maths,mental-math,easy,15 multiplied by 6 equals 90.,The numbers tried to help. They were ignored.,
"If a shirt costs $40 and is discounted by 25%, what is the sale price?",$10,$25,$30,$35,2,Maths,maths,mental-math,medium,"25% of $40 is $10, so the discounted price is $30.",Your calculator would like a word.,
"What number comes next: 2, 6, 12, 20, 30, ?",36,40,42,44,2,Maths,maths,number-patterns,medium,"The differences are +4, +6, +8, +10, so the next increase is +12, giving 42.",Pattern recognition has left the chat.,
A farmer has 17 sheep and all but 9 run away. How many are left?,8,9,17,0,1,Puzzles,puzzles,logic,easy,"""All but 9"" means 9 sheep remain.",The sheep survived. The logic did not.,
What gets wetter the more it dries?,A sponge,A towel,Rain,Soap,1,Puzzles,puzzles,riddles,easy,A towel gets wetter as it dries other things.,Classic riddle. Ruthless result.,
"You see me once in June, twice in November, and not at all in May. What am I?",The moon,The letter E,Rain,A holiday,1,Puzzles,puzzles,riddles,medium,"The letter E appears once in June, twice in November, and not at all in May.",The alphabet carried the clue. Still no luck.,
Which country is currently a permanent member of the UN Security Council?,Germany,Japan,India,France,3,Geopolitics,geopolitics,world-powers,easy,France is one of the five permanent members of the UN Security Council.,Diplomacy has filed a complaint.,
NATO is best described as what kind of organization?,Trade union,Military alliance,Human rights court,Climate panel,1,Geopolitics,geopolitics,world-powers,easy,NATO is a military alliance formed for collective defense.,That alliance did not include your answer.,
A ceasefire usually means what?,A permanent peace treaty,A temporary stop to fighting,A military victory,A trade embargo,1,Geopolitics,geopolitics,global-conflicts,easy,"A ceasefire is an agreed pause or stop in fighting, often temporary.",Geopolitical vocabulary is undefeated tonight.,
Which gas do plants absorb from the atmosphere during photosynthesis?,Oxygen,Carbon dioxide,Nitrogen,Helium,1,Fun Facts,fun-facts,brainy-bites,easy,Plants use carbon dioxide during photosynthesis.,The greenhouse would like a rematch.,
What color is the black box on most airplanes?,Black,Silver,Orange,Blue,2,Fun Facts,fun-facts,brainy-bites,easy,Flight recorders are usually bright orange to help investigators find them.,Aviation safety tried to help you there.,
Which animal can sleep for around 20 hours a day?,Horse,Koala,Wolf,Dolphin,1,Fun Facts,fun-facts,brainy-bites,easy,Koalas are famous for sleeping most of the day.,That answer needed a nap.,
What is the only continent with land in all four hemispheres?,Asia,Africa,South America,Europe,1,Fun Facts,fun-facts,brainy-bites,medium,Africa crosses both the Equator and the prime meridian.,The globe spun and you still missed it.,
Which metal is liquid at room temperature?,Gold,Mercury,Iron,Aluminum,1,Fun Facts,fun-facts,brainy-bites,easy,Mercury is liquid at standard room temperature.,Chemistry is shaking its head.,
Which bird is known for being able to mimic human speech best?,Crow,Parrot,Eagle,Penguin,1,Fun Facts,fun-facts,brainy-bites,easy,Parrots are famous for their ability to imitate sounds and speech.,The bird had the line and you dropped it.,
How many hearts does an octopus have?,One,Two,Three,Four,2,Fun Facts,fun-facts,strange-world,easy,An octopus has three hearts and blue blood.,Marine biology remains undefeated.,
What is the largest organ in the human body?,Liver,Lung,Skin,Brain,2,Fun Facts,fun-facts,strange-world,easy,Skin is the body's largest organ.,The anatomy chart was right there.,
Which country has the most natural lakes in the world?,Canada,Russia,Brazil,Sweden,0,Fun Facts,fun-facts,strange-world,medium,Canada has more lakes than most other countries combined.,That guess drifted off course.,
Which planet has the largest volcano in the solar system?,Earth,Jupiter,Mars,Neptune,2,Fun Facts,fun-facts,strange-world,medium,Olympus Mons on Mars is the largest known volcano in the solar system.,Space geography was not amused.,
What do you call a group of flamingos?,A pod,A flock,A flamboyance,A squad,2,Fun Facts,fun-facts,strange-world,medium,A group of flamingos is commonly called a flamboyance.,That answer lacked flair.,
Which mammal is capable of true flight?,Flying squirrel,Bat,Sugar glider,Ostrich,1,Fun Facts,fun-facts,strange-world,easy,Bats are the only mammals capable of sustained true flight.,Nature filed a correction.,
Which famous clock tower houses the bell nicknamed Big Ben?,Eiffel Tower,Elizabeth Tower,Leaning Tower of Pisa,Tokyo Tower,1,Fun Facts,fun-facts,strange-world,medium,Big Ben is the nickname for the great bell in London's Elizabeth Tower.,Tourism points deducted.,
Which scientist developed the theory of general relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,1,Fun Facts,fun-facts,brainy-bites,easy,Albert Einstein published the theory of general relativity.,Physics bent around that mistake.,
